"","group_id","beta1beta2","beta2minus1","varY1varY2","var2minus1","rho01rho02","rho02minus01","method2","method3","method4_chi2","count"
"1",1,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,0,58,38,2
"2",10,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,0,96,0,1
"3",19,"(0.4, 0.4)",0,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,9,87,0,2
"4",4,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.05)",-0.05,0,96,0,1
"5",13,"(0.4, 0.4)",0,"(1, 1)",0,"(0.1, 0.1)",0,96,0,0,1
"6",22,"(0.4, 0.4)",0,"(1, 1)",0,"(0.05, 0.1)",0.05,0,96,0,1
"7",7,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,9,87,0,2
"8",16,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.1, 0.1)",0,0,96,0,1
"9",25,"(0.4, 0.4)",0,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,0,58,38,2
"10",2,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,0,0,96,1
"11",11,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,0,41,55,2
"12",20,"(0.25, 0.4)",0.15,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,0,72,24,2
"13",5,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.1, 0.05)",-0.05,0,55,41,2
"14",14,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.1, 0.1)",0,96,0,0,1
"15",23,"(0.25, 0.4)",0.15,"(1, 1)",0,"(0.05, 0.1)",0.05,96,0,0,1
"16",8,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,95,0,1,2
"17",17,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.1, 0.1)",0,60,36,0,2
"18",26,"(0.25, 0.4)",0.15,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,0,96,0,1
"19",3,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.05)",-0.05,0,0,96,1
"20",12,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.1, 0.1)",0,0,0,96,1
"21",21,"(0.1, 0.4)",0.3,"(1, 0.5)",-0.5,"(0.05, 0.1)",0.05,0,0,96,1
"22",6,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.05)",-0.05,0,0,96,1
"23",15,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.1, 0.1)",0,0,0,96,1
"24",24,"(0.1, 0.4)",0.3,"(1, 1)",0,"(0.05, 0.1)",0.05,57,0,39,2
"25",9,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.05)",-0.05,0,0,96,1
"26",18,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.1, 0.1)",0,72,0,24,2
"27",27,"(0.1, 0.4)",0.3,"(0.5, 1)",0.5,"(0.05, 0.1)",0.05,78,0,18,2
